zip_code,average_price,highest_price,lowest_price,square_footage,area
37013,"$463,696 ","$3,500,000 ","$224,900 ","2,518",Antioch / Cane Ridge
37072,"$880,947 ","$11,500,000 ","$179,900 ","2,813",Goodlettsville
37076,"$517,056 ","$1,999,999 ","$195,000 ","2,172",Hermitage
37115,"$453,722 ","$1,299,999 ","$129,900 ","1,778",Madison
37138,"$609,831 ","$3,325,000 ","$199,900 ","2,246",Old Hickory
37201,"$2,111,866 ","$9,000,000 ","$396,000 ","1,835",Downtown Nashville
37203,"$1,138,462 ","$13,000,000 ","$279,000 ","1,535",Edgehill / Music Row / The Gulch / West End Circle / Wedgewood
37204,"$1,595,475 ","$4,800,000 ","$234,900 ","3,307",12 South / Belmont / Lipscomb / Green Hills / Oak Hill / Edgehill
37205,"$2,186,167 ","$15,200,000 ","$249,000 ","3,916",Belle Meade / West End / West Meade
37206,"$846,331 ","$3,250,000 ","$290,000 ","2,166",East Nashville / Lockeland Springs
37207,"$662,651 ","$3,083,320 ","$250,000 ","1,936",North Nashville / Dickerson Pike
37208,"$649,050 ","$2,999,999 ","$220,000 ","1,781",Germantown
37209,"$820,028 ","$3,700,000 ","$165,000 ","2,179",Charlotte Park / Sylvan Heights / Sylvan Park / The Nations
37210,"$646,961 ","$5,700,000 ","$265,000 ","1,888",Briley Parkway / South Nashville / Spence Lane / Sterling Heights / Woodbine
37211,"$566,536 ","$3,500,000 ","$115,000 ","1,974",Bradford Hills / Brentioch / Cane Ridge / Crieve Hall
37212,"$1,098,995 ","$3,495,000 ","$210,000 ","2,053",Belmont / Hillsboro Village / Music Row / Vanderbilt
37214,"$463,599 ","$1,549,000 ","$225,000 ","1,741",Airport / Donelson
37215,"$2,349,717 ","$8,900,000 ","$239,500 ","4,504",Belle Meade / Forest Hills / Green Hills
37216,"$643,426 ","$3,699,000 ","$227,500 ","1,919",Inglewood
37217,"$381,670 ","$899,900 ","$150,000 ","1,656",Briley Parkway / Edge-o-Lake / Priest Lake
37218,"$790,665 ","$9,200,000 ","$309,500 ","2,301",Bordeaux
37219,"$853,802 ","$4,000,000 ","$194,500 ",961,Central Business District / Downtown
37220,"$2,893,856 ","$6,500,000 ","$729,900 ","5,087",Crieve Hall / North Brentwood / Oak Hill
37221,"$808,301 ","$3,399,000 ","$199,900 ","2,618",Bellevue
37015,"$693,032 ","$7,900,000 ","$169,000 ","2,230",Ashland City
37023,,,,,
37027,"$2,633,912 ","$15,000,000 ","$405,900 ","5,267",Brentwood
37080,,,,,
37116,,,,,
37135,"$949,675 ","$5,000,000 ","$308,900 ","2,926",Nolensville
37143,,,,,
37167,"$547,493 ","$1,900,000 ","$125,000 ","2,351",Smyrna
37189,,,,,
37228,,,,,
37229,,,,,
