ZIP Code,Quality of Life,Feeling of Safety,Neighborhood Safety,Crime Prevention,Neighborhood Appearance,Police,Public Education,Public Libraries,Arts and Culture,Affordable Housing,average_price,highest_price,lowest_price,square_footage,area,Crime Count,zip_code,Overall Niche Grade,Public School,Population,public_school
37013,3.5804597701149423,2.874285714285714,3.4204545454545454,2.8402366863905324,3.297142857142857,3.447674418604651,2.45,3.9878048780487805,3.512987012987013,2.0952380952380953,463696.0,3500000.0,224900.0,"2,518",Antioch / Cane Ridge,47328.0,37013.0,B,C,99800.0,1.5
37015,4.0,4.0,4.5,3.5,4.0,4.0,2.5,3.5,4.0,3.0,693032.0,7900000.0,169000.0,"2,230",Ashland City,179.0,37015.0,C+,C,19104.0,1.5
37023,2.0,1.0,1.0,1.0,2.0,3.0,3.0,,,2.0,,,,,,,37023.0,C+,B-,1569.0,2.5
37027,4.0,3.3636363636363638,4.181818181818182,3.227272727272727,4.363636363636363,3.8947368421052633,3.0526315789473686,4.476190476190476,3.5714285714285716,2.5,2633912.0,15000000.0,405900.0,"5,267",Brentwood,2236.0,37027.0,A+,A+,62116.0,5
37072,3.4857142857142858,2.7714285714285714,3.6944444444444446,2.7941176470588234,3.8333333333333335,3.8055555555555554,2.5806451612903225,4.0625,3.6333333333333333,2.8421052631578947,880947.0,11500000.0,179900.0,"2,813",Goodlettsville,3420.0,37072.0,B,B,32364.0,3
37076,3.71875,3.0309278350515463,3.515463917525773,2.8085106382978724,3.5520833333333335,3.663157894736842,2.426829268292683,4.183908045977011,3.707865168539326,2.4029850746268657,517056.0,1999999.0,195000.0,"2,172",Hermitage,21902.0,37076.0,B+,C,38095.0,1.5
37080,3.6666666666666665,2.5384615384615383,3.230769230769231,3.0,3.6153846153846154,4.076923076923077,2.5833333333333335,3.6153846153846154,3.642857142857143,3.0,386081.0,,,,,1875.0,37080.0,C+,C,7106.0,1.5
37115,3.4767441860465116,3.1379310344827585,3.5172413793103448,2.847058823529412,3.3068181818181817,3.4186046511627906,2.539473684210526,3.9625,3.5657894736842106,1.75,453722.0,1299999.0,129900.0,"1,778",Madison,40808.0,37115.0,B-,C,41926.0,1.5
37116,3.0,1.0,2.0,1.0,2.0,1.0,2.0,,2.0,4.0,,,,,,,,,,,
37135,4.0,4.0,5.0,4.0,5.0,4.0,2.0,,4.0,,949675.0,5000000.0,308900.0,"2,926",Nolensville,216.0,37135.0,A+,A+,22693.0,5
37138,3.511627906976744,2.8181818181818183,3.409090909090909,2.6744186046511627,3.477272727272727,3.5454545454545454,2.682926829268293,3.9761904761904763,3.3846153846153846,2.3333333333333335,609831.0,3325000.0,199900.0,"2,246",Old Hickory,6532.0,37138.0,B+,B-,23297.0,2.5
37143,3.0,2.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,427890.0,,,,,17.0,37143.0,C+,C,4069.0,1.5
37167,3.0,2.0,5.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,547493.0,1900000.0,125000.0,"2,351",Smyrna,2.0,37167.0,B+,A-,62284.0,4.5
37189,3.6923076923076925,3.1538461538461537,3.8461538461538463,2.769230769230769,4.076923076923077,3.6923076923076925,2.4166666666666665,4.153846153846154,3.5,2.4444444444444446,386286.0,,,,,2787.0,37189.0,B+,C,4139.0,1.5
37201,4.0,2.5,3.0,1.0,2.5,3.0,1.0,5.0,4.0,2.0,2111866.0,9000000.0,396000.0,"1,835",Downtown Nashville,14254.0,37201.0,A+,C+,1566.0,2
37203,3.7586206896551726,3.23728813559322,3.5,3.2280701754385963,3.4915254237288136,3.4727272727272727,2.4680851063829787,4.244897959183674,3.6724137931034484,2.3333333333333335,1138462.0,13000000.0,279000.0,"1,535",Edgehill / Music Row / The Gulch / West End Circle / Wedgewood,30384.0,37203.0,A,C+,18903.0,2
37204,3.9450549450549453,3.3626373626373627,3.8444444444444446,3.0941176470588236,3.802197802197802,3.8505747126436782,2.380281690140845,4.238095238095238,3.7176470588235295,2.211267605633803,1595475.0,4800000.0,234900.0,"3,307",12 South / Belmont / Lipscomb / Green Hills / Oak Hill / Edgehill,6195.0,37204.0,A,C+,17234.0,2
37205,4.054347826086956,3.5652173913043477,4.271739130434782,3.2023809523809526,4.3478260869565215,3.8255813953488373,2.367088607594937,4.148148148148148,3.8117647058823527,2.328358208955224,2186167.0,15200000.0,249000.0,"3,916",Belle Meade / West End / West Meade,5383.0,37205.0,A,C+,25711.0,2
37206,3.7523809523809524,3.2115384615384617,3.3365384615384617,2.9489795918367347,3.349514563106796,3.47,2.4166666666666665,4.191011235955056,3.7777777777777777,2.1265822784810124,846331.0,3250000.0,290000.0,"2,166",East Nashville / Lockeland Springs,25115.0,37206.0,A-,C+,29389.0,2
37207,3.412556053811659,2.9642857142857144,3.1517857142857144,2.9049773755656108,3.0848214285714284,3.3542600896860986,2.67,4.066666666666666,3.6538461538461537,2.0943396226415096,662651.0,3083320.0,250000.0,"1,936",North Nashville / Dickerson Pike,51145.0,37207.0,B,C,40144.0,1.5
37208,3.5391304347826087,3.0338983050847457,2.8974358974358974,2.6548672566371683,2.966666666666667,3.365217391304348,2.5053763440860215,3.883495145631068,3.47787610619469,1.9120879120879122,649050.0,2999999.0,220000.0,"1,781",Germantown,28349.0,37208.0,B+,C+,20410.0,2
37209,3.8392857142857144,3.2212389380530975,3.495575221238938,3.0545454545454547,3.482456140350877,3.6814159292035398,2.526315789473684,4.106796116504855,3.743362831858407,2.451219512195122,820028.0,3700000.0,165000.0,"2,179",Charlotte Park / Sylvan Heights / Sylvan Park / The Nations,24337.0,37209.0,B+,C+,38126.0,2
37210,3.6666666666666665,2.966666666666667,2.933333333333333,2.7,2.7,3.5,2.5833333333333335,3.888888888888889,3.16,2.1739130434782608,646961.0,5700000.0,265000.0,"1,888",Briley Parkway / South Nashville / Spence Lane / Sterling Heights / Woodbine,28768.0,37210.0,B-,C,16509.0,1.5
